Employee_ID,Age,Gender,Country,Work_Stress_Level,Hours_Worked_Per_Week,Remote_Work,Family_History,Mental_Health_Awareness,Supervisor_Support,Work_Life_Balance,Physical_Activity,sought_treatment,Role,Job_Satisfaction
EMP269,25,Male,India,High,45,Yes,Yes,High,Medium,Good,Low,Yes,Data Analyst,Medium
EMP270,44,Female,UK,Low,42,No,Yes,Low,Medium,Poor,High,Yes,Project Manager,High
EMP271,32,Male,UK,High,44,No,Yes,Medium,Medium,Poor,High,Yes,Data Analyst,Medium
EMP272,45,Male,India,High,59,Yes,No,Medium,Medium,Excellent,Moderate,No,Project Manager,Medium
EMP273,48,Female,Germany,Medium,41,No,Yes,High,Low,Poor,Low,Yes,Project Manager,Medium
EMP274,38,Female,India,Medium,37,No,Yes,Low,Medium,Excellent,Low,Yes,Data Analyst,Medium
EMP275,27,Male,USA,Medium,37,Yes,No,Low,Low,Good,Low,No,UI/UX Designer,Medium
EMP276,45,Female,India,Low,52,Yes,No,High,Low,Good,High,Yes,Project Manager,Medium
EMP277,26,Male,UK,Medium,39,No,No,Low,Medium,Excellent,Low,No,DevOps Engineer,High
EMP278,41,Female,India,High,46,Yes,Yes,Medium,Low,Poor,High,Yes,Technical Support,Medium
EMP279,23,Male,Germany,Low,46,No,No,High,High,Good,High,No,QA Tester,Medium
EMP280,27,Female,Canada,Medium,53,No,No,High,Medium,Poor,Moderate,Yes,UI/UX Designer,High
EMP281,43,Male,India,Medium,64,No,Yes,Low,Low,Good,Moderate,Yes,Data Analyst,Medium
EMP282,32,Male,Germany,Medium,40,No,No,High,Medium,Excellent,Moderate,No,UI/UX Designer,Medium
EMP283,37,Male,Germany,High,36,Yes,No,Low,Medium,Excellent,Moderate,Yes,Software Engineer,Medium
EMP284,37,Female,UK,Medium,46,Yes,No,Low,Medium,Excellent,Moderate,Yes,Software Engineer,Low
EMP285,22,Male,Germany,Medium,53,Yes,No,Low,Low,Good,High,No,Project Manager,High
EMP286,30,Male,Germany,High,39,Yes,Yes,Low,High,Poor,High,Yes,Project Manager,High
EMP287,49,Female,Germany,Medium,46,No,No,Low,High,Poor,Low,Yes,DevOps Engineer,High
EMP288,48,Female,Germany,Low,61,No,No,High,Low,Poor,High,Yes,Technical Support,Medium
EMP289,27,Male,USA,Medium,61,Yes,Yes,Medium,Medium,Good,High,No,QA Tester,Medium
EMP290,37,Male,USA,Low,51,No,No,Medium,Low,Good,Moderate,No,UI/UX Designer,Low
EMP291,24,Female,UK,Low,63,No,Yes,High,Low,Good,High,No,Software Engineer,Medium
EMP292,41,Female,India,Medium,51,No,No,High,Low,Good,Moderate,No,Project Manager,Medium
EMP293,49,Female,Germany,Medium,44,Yes,Yes,Medium,Medium,Good,Low,Yes,QA Tester,High
EMP294,48,Female,India,High,59,Yes,Yes,Medium,Low,Poor,Low,Yes,UI/UX Designer,Medium
EMP295,25,Female,India,Medium,57,Yes,Yes,Medium,Medium,Good,High,No,Project Manager,Medium
EMP296,40,Male,UK,Medium,51,No,Yes,Medium,Low,Good,Low,No,Project Manager,Medium
EMP297,47,Female,Germany,High,49,Yes,No,Medium,High,Poor,High,Yes,Software Engineer,Medium
EMP298,24,Male,Germany,Low,46,Yes,Yes,Low,Low,Good,Low,No,Software Engineer,Medium
EMP299,40,Male,Canada,High,64,Yes,No,High,Low,Poor,Moderate,Yes,Project Manager,High
EMP300,41,Male,India,Low,50,Yes,Yes,Low,High,Poor,Moderate,Yes,Data Analyst,Medium
